# COE, AEP
6.843000353718450413e+01 2.857824885344362259e+08
6.843000353718450413e+01 2.857824885344362259e+08
6.843000353718450413e+01 2.857824885344362259e+08
6.843000353718450413e+01 2.857824885344362259e+08
6.843000353718450413e+01 2.857824885344362259e+08
6.843000353718450413e+01 2.857824885344362259e+08
6.843000353718450413e+01 2.857824885344362259e+08
6.843000353718450413e+01 2.857824885344362259e+08
6.843000353718450413e+01 2.857824885344362259e+08
6.843000353718450413e+01 2.857824885344362259e+08
6.843000353718450413e+01 2.857824885344362259e+08
6.843000353718450413e+01 2.857824885344362259e+08
6.843000353718450413e+01 2.857824885344362259e+08
6.843000353718450413e+01 2.857824885344362259e+08
6.843000353718450413e+01 2.857824885344362259e+08
6.843000353718450413e+01 2.857824885344362259e+08
6.843000353718450413e+01 2.857824885344362259e+08
6.843000353718450413e+01 2.857824885344362259e+08
6.843000353718450413e+01 2.857824885344362259e+08
6.843000353718450413e+01 2.857824885344362259e+08
6.842643458732455031e+01 2.857988556995217204e+08
6.842643458732455031e+01 2.857988556995217204e+08
6.842643458732455031e+01 2.857988556995217204e+08
6.842643458732455031e+01 2.857988556995217204e+08
6.842643458732455031e+01 2.857988556995217204e+08
6.842643458732455031e+01 2.857988556995217204e+08
6.842643458732455031e+01 2.857988556995217204e+08
6.842643458732455031e+01 2.857988556995217204e+08
6.842643458732455031e+01 2.857988556995217204e+08
6.842643458732455031e+01 2.857988556995217204e+08
6.842643458732455031e+01 2.857988556995217204e+08
6.842643458732455031e+01 2.857988556995217204e+08
6.842643458732455031e+01 2.857988556995217204e+08
6.842643458732455031e+01 2.857988556995217204e+08
6.842643458732455031e+01 2.857988556995217204e+08
6.842643458732455031e+01 2.857988556995217204e+08
6.842643458732455031e+01 2.857988556995217204e+08
6.842643458732455031e+01 2.857988556995217204e+08
6.842643458732455031e+01 2.857988556995217204e+08
6.842643458732455031e+01 2.857988556995217204e+08
6.842289214261293750e+01 2.858151031663001776e+08
6.842289214261293750e+01 2.858151031663001776e+08
6.842289214261293750e+01 2.858151031663001776e+08
6.842289214261293750e+01 2.858151031663001776e+08
6.842289214261293750e+01 2.858151031663001776e+08
6.842289214261293750e+01 2.858151031663001776e+08
6.842289214261293750e+01 2.858151031663001776e+08
6.842289214261293750e+01 2.858151031663001776e+08
6.842289214261293750e+01 2.858151031663001776e+08
6.842289214261293750e+01 2.858151031663001776e+08
6.842289214261293750e+01 2.858151031663001776e+08
6.842289214261293750e+01 2.858151031663001776e+08
6.842289214261293750e+01 2.858151031663001776e+08
